Crop_ID,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,NDVI,VV,VH,VH_VV_Ratio,elevation,slope,PSRI
0,0.132750004529953,0.1710000038146972,0.1409000009298324,0.2036000043153762,0.4033499956130981,0.48785001039505,0.4762499928474426,0.5014500021934509,0.2168000042438507,0.1535000056028366,0.5433849069090901,-13.694477890081018,-20.846475049720084,-7.151997159639066,646.0,0.0,0.0202057629055258
0,0.1303000003099441,0.1721999943256378,0.137700006365776,0.2143000066280365,0.4436999857425689,0.5403000116348267,0.5127500295639038,0.5499500036239624,0.231450006365776,0.1596000045537948,0.5766008186348603,-14.61583323741178,-18.87315455303345,-4.257321315621674,647.0,0.0,0.0166779459675951
0,0.13230000436306,0.16805000603199,0.138150006532669,0.2025000005960464,0.3944999873638153,0.4699999988079071,0.4610500037670135,0.4871500134468078,0.2161999940872192,0.1535499989986419,0.5388851663618129,-15.566460074786798,-21.572097517927865,-6.005637443141067,646.0,0.0,0.0148288995541187
0,0.1181000024080276,0.1303000003099441,0.1223499998450279,0.1507000029087066,0.3284499943256378,0.398250013589859,0.3995999991893768,0.4119000136852264,0.2268500030040741,0.1529500037431717,0.5311811473460195,-9.705186436610282,-12.565361532389655,-2.8601750957793737,643.0,0.0,0.0129395531023555
0,0.1386500000953674,0.1785999983549118,0.1485999971628189,0.2121499925851822,0.4047499895095825,0.4765500128269195,0.4837499856948852,0.4841000139713287,0.226950004696846,0.1588000059127807,0.530007112544643,-14.156479843720929,-17.416551005653915,-3.260071161932986,647.0,2.4394211769104004,0.0245830632909987
0,0.1307999938726425,0.1650499999523162,0.1406999975442886,0.197500005364418,0.3618499934673309,0.42085000872612,0.4088999927043915,0.436599999666214,0.2117000073194503,0.1546500027179718,0.4879912662275505,-13.704224338130013,-20.40137362853921,-6.6971492904092,644.0,1.2364624738693235,0.0273594061473965
0,0.1317999958992004,0.1650999933481216,0.1422999948263168,0.2029999941587448,0.367249995470047,0.4305500090122223,0.4209499955177307,0.4424000084400177,0.2140499949455261,0.1545500010251999,0.4947181632816492,-13.550705153833633,-21.549955621771343,-7.999250467937713,648.0,2.439566135406494,0.0285908677945402
0,0.13680000603199,0.1755000054836273,0.1440500020980835,0.2037000060081482,0.3767000138759613,0.4442000091075897,0.4618499875068664,0.4607999920845032,0.2148000001907348,0.1546500027179718,0.5245089798004292,-16.458281252197736,-21.051701900181925,-4.593420647984189,648.0,0.0,0.0192460681561691
0,0.1343500018119812,0.1681499928236007,0.1375000029802322,0.2019499987363815,0.3849000036716461,0.4618499875068664,0.4657999873161316,0.4779999852180481,0.2153500020503997,0.1534000039100647,0.5441736940433664,-14.253296725830406,-20.442048379361744,-6.188751653531337,647.0,0.0,0.0081839447124136
0,0.1361999958753585,0.1790000051259994,0.1453000009059906,0.2078499943017959,0.4004499912261963,0.4691500067710876,0.470550000667572,0.4920499920845032,0.221900001168251,0.157600000500679,0.5281318485516487,-16.044991643969468,-22.39195224073314,-6.346960596763672,646.0,2.439439296722412,0.0227244423962231
0,0.1508499979972839,0.1959999948740005,0.1582999974489212,0.2419999986886978,0.4873499870300293,0.5628499984741211,0.5636000037193298,0.5891500115394592,0.2571499943733215,0.17739999294281,0.5614351095920647,-16.05909934401885,-24.113566616478785,-8.054467272459934,647.0,1.2364624738693235,0.0152867510438717
0,0.133200004696846,0.1722500026226043,0.1398999989032745,0.2045000046491623,0.4111500084400177,0.5059499740600586,0.4968000054359436,0.5200999975204468,0.2179999947547912,0.1536000072956085,0.5605465746824803,-14.919386107572972,-20.8722820986862,-5.952895991113227,644.0,0.0,0.0162957374177756
0,0.1318999975919723,0.1723500043153762,0.1486999988555908,0.2032500058412552,0.3590500056743622,0.42085000872612,0.4068500101566314,0.427150011062622,0.2171999961137771,0.1582999974489212,0.4646746595505163,-12.192665062978476,-20.260740616144687,-8.06807555316621,647.0,0.0,0.0467901303971627
0,0.1389999985694885,0.1841000020503997,0.14894999563694,0.220550000667572,0.4079000055789947,0.5108000040054321,0.4957999885082245,0.5077999830245972,0.2334000021219253,0.164900004863739,0.5379604519589902,-12.113538813539598,-19.498718823216198,-7.385180009676596,643.0,0.0,0.024393220132483
0,0.1389999985694885,0.1875499933958053,0.1447499990463256,0.1878499984741211,0.3623499870300293,0.4415999948978424,0.5092999935150146,0.4484499990940094,0.2167499959468841,0.1536999940872192,0.5573732873859784,-10.534268196634107,-16.016917189999603,-5.482648993365496,643.0,1.2364624738693235,0.0158686328019582
0,0.1351500004529953,0.1618999987840652,0.1541000008583068,0.2016499936580658,0.3434500098228454,0.4050999879837036,0.3736999928951263,0.4075999855995178,0.2193000018596649,0.1594499945640564,0.4160666817654562,-13.568677829270973,-18.46524453609359,-4.896566706822618,647.0,0.0,0.0551754093632002
